OutTemp,RoomTemp,HeatState,HeatStateSince,StartTemp
-1.3,20.8,True,40.0,20.9
-1.3,20.8,True,41.0,20.9
-1.4,20.8,True,50.0,20.9
-1.4,20.8,True,58.0,20.9
-1.3,20.8,True,60.0,20.9
-1.3,20.8,True,61.0,20.9
-1.4,20.9,True,70.0,20.9
-1.4,20.9,True,75.0,20.9
-1.2,20.9,True,80.0,20.9
-1.2,20.9,True,83.0,20.9
-1.3,20.9,True,89.0,20.9
-1.2,20.9,True,90.0,20.9
-1.2,20.9,True,91.0,20.9
-1.3,21.0,True,98.0,20.9
-1.2,21.0,True,100.0,20.9
-1.2,21.1,True,104.0,20.9
-1.3,21.1,True,109.0,20.9
-1.2,21.1,True,110.0,20.9
-1.2,21.2,True,117.0,20.9
-1.3,21.2,True,119.0,20.9
-1.2,21.2,True,120.0,20.9
-0.6,22.8,False,110.0,22.3
-0.6,22.8,False,118.0,22.3
-0.7,22.6,False,120.0,22.3
-0.7,22.6,False,130.0,22.3
-0.7,22.6,False,139.0,22.3
-0.8,22.6,False,140.0,22.3
-0.8,22.6,False,146.0,22.3
-0.7,22.7,False,150.0,22.3
-0.7,22.7,False,151.0,22.3
-0.8,22.8,False,160.0,22.3
-0.8,22.8,False,170.0,22.3
-0.8,23.0,False,180.0,22.3
-0.8,23.0,False,190.0,22.3
-0.8,23.0,False,200.0,22.3
-0.8,23.1,False,210.0,22.3
-0.8,23.1,False,220.0,22.3
-0.8,23.1,False,230.0,22.3
-0.8,23.1,False,232.0,22.3
-0.9,23.1,False,235.0,22.3
-0.8,23.2,False,240.0,22.3
-0.8,23.2,False,250.0,22.3
-0.8,23.1,False,250.0,22.3
-0.9,23.2,False,260.0,22.3
-0.9,23.2,False,268.0,22.3
-1.0,23.2,False,270.0,22.3
-1.0,23.2,False,273.0,22.3
-0.9,23.2,False,278.0,22.3
-1.0,23.2,False,280.0,22.3
-1.0,23.2,False,288.0,22.3
-0.9,23.2,False,290.0,22.3
-0.9,23.2,False,291.0,22.3
-1.0,23.0,False,300.0,22.3
-1.0,22.9,False,310.0,22.3
-1.0,22.8,False,313.0,22.3
-1.1,22.7,False,320.0,22.3
-1.1,22.5,False,330.0,22.3
-1.1,22.4,False,340.0,22.3
-1.1,22.4,False,343.0,22.3
-1.2,22.3,False,350.0,22.3
-1.2,22.3,False,354.0,22.3
-1.1,22.2,False,359.0,22.3
-1.2,22.2,False,360.0,22.3
-1.2,22.1,False,369.0,22.3
-1.1,22.1,False,370.0,22.3
-1.1,22.1,False,372.0,22.3
-1.2,22.1,False,374.0,22.3
-1.1,22.1,False,377.0,22.3
-1.2,22.1,False,380.0,22.3
-1.2,22.0,False,385.0,22.3
-1.1,22.0,False,389.0,22.3
-1.2,22.0,False,390.0,22.3
-1.2,22.0,False,397.0,22.3
-1.1,22.0,False,400.0,22.3
-1.1,21.9,False,410.0,22.3
-1.1,21.9,False,412.0,22.3
-1.2,21.9,False,415.0,22.3
-1.1,21.8,False,420.0,22.3
-1.1,21.8,False,422.0,22.3
-1.2,21.8,False,430.0,22.3
-1.2,21.8,False,440.0,22.3
-1.2,21.7,False,450.0,22.3
-1.2,21.7,False,460.0,22.3
-1.2,21.6,False,470.0,22.3
-1.2,21.6,False,480.0,22.3
-1.2,21.6,False,490.0,22.3
-1.2,21.5,False,500.0,22.3
-1.2,21.5,False,510.0,22.3
-1.2,21.5,False,520.0,22.3
-1.2,21.4,False,530.0,22.3
-1.2,21.4,False,540.0,22.3
