OutTemp,RoomTemp,HeatState,HeatStateSince,StartTemp
-4.8,20.7,True,30.0,20.8
-4.8,20.6,True,40.0,20.8
-5.0,20.6,True,40.0,20.8
-5.0,20.7,True,43.0,20.8
-5.1,20.7,True,45.0,20.8
-5.0,20.6,True,50.0,20.8
-5.0,20.6,True,55.0,20.8
-5.1,20.6,True,57.0,20.8
-5.2,20.7,True,60.0,20.8
-5.2,20.6,True,70.0,20.8
-5.1,20.6,True,70.0,20.8
-5.1,20.7,True,73.0,20.8
-5.2,20.7,True,80.0,20.8
-5.2,20.7,True,86.0,20.8
-5.3,20.8,True,90.0,20.8
-5.3,20.7,True,93.0,20.8
-5.4,20.7,True,96.0,20.8
-5.3,20.7,True,99.0,20.8
-5.4,20.8,True,100.0,20.8
-5.4,20.8,True,110.0,20.8
-5.4,20.8,True,114.0,20.8
-5.3,20.8,True,116.0,20.8
-5.4,20.8,True,119.0,20.8
-5.3,20.8,True,120.0,20.8
-5.3,20.8,True,126.0,20.8
-5.4,20.8,True,128.0,20.8
-9.9,20.3,True,0.0,20.3
-10.0,20.3,True,10.0,20.3
-10.1,20.2,True,24.0,20.3
-10.2,20.2,True,26.0,20.3
-10.1,20.2,True,34.0,20.3
-10.2,20.2,True,43.0,20.3
-10.1,20.2,True,45.0,20.3
-10.2,20.2,True,52.0,20.3
-10.1,20.2,True,58.0,20.3
-10.2,20.2,True,60.0,20.3
-10.1,20.2,True,66.0,20.3
-10.2,20.2,True,70.0,20.3
-10.3,20.2,True,72.0,20.3
-10.2,20.2,True,75.0,20.3
-10.3,20.2,True,78.0,20.3
-10.4,20.2,True,80.0,20.3
-10.3,20.2,True,82.0,20.3
-10.4,20.2,True,88.0,20.3
-10.3,20.2,True,91.0,20.3
-10.2,20.2,True,93.0,20.3
-10.3,20.2,True,99.0,20.3
-10.3,20.3,True,102.0,20.3
-10.2,20.4,True,111.0,20.3
-10.1,20.5,True,121.0,20.3
-10.0,20.5,True,128.0,20.3
-12.7,20.4,True,0.0,20.4
-12.7,20.4,True,6.0,20.4
-12.6,20.3,True,10.0,20.4
-12.6,20.3,True,14.0,20.4
-12.7,20.3,True,17.0,20.4
-12.6,20.3,True,19.0,20.4
-12.7,20.3,True,20.0,20.4
-12.7,20.3,True,21.0,20.4
-12.6,20.3,True,30.0,20.4
-12.6,20.3,True,34.0,20.4
-12.7,20.2,True,40.0,20.4
-12.7,20.2,True,50.0,20.4
-12.7,20.2,True,53.0,20.4
-12.8,20.2,True,60.0,20.4
-12.8,20.3,True,64.0,20.4
-12.9,20.3,True,70.0,20.4
-12.9,20.4,True,74.0,20.4
-13.0,20.4,True,80.0,20.4
-13.0,20.5,True,82.0,20.4
-12.9,20.6,True,90.0,20.4
-12.9,20.6,True,94.0,20.4
-12.8,20.6,True,97.0,20.4
-12.9,20.7,True,100.0,20.4
-12.9,20.8,True,105.0,20.4
-12.8,20.8,True,110.0,20.4
-12.8,20.8,True,117.0,20.4
-12.7,20.8,True,120.0,20.4
-12.7,20.7,True,125.0,20.4
-11.5,20.2,True,0.0,20.2
-11.6,20.2,True,7.0,20.2
-11.6,20.2,True,10.0,20.2
-11.7,20.2,True,12.0,20.2
-11.6,20.1,True,17.0,20.2
-11.7,20.1,True,17.0,20.2
-11.7,20.1,True,27.0,20.2
-11.7,20.1,True,37.0,20.2
-11.7,20.1,True,45.0,20.2
-11.8,20.1,True,47.0,20.2
-11.8,20.1,True,50.0,20.2
-11.7,20.1,True,57.0,20.2
-11.7,20.0,True,66.0,20.2
-11.8,20.0,True,67.0,20.2
-11.8,20.0,True,77.0,20.2
-11.8,20.0,True,78.0,20.2
-11.9,20.0,True,87.0,20.2
-11.9,20.0,True,97.0,20.2
-11.9,20.0,True,107.0,20.2
-11.9,20.0,True,115.0,20.2
-11.8,20.0,True,117.0,20.2
-11.8,20.0,True,121.0,20.2
-11.9,20.0,True,124.0,20.2
-11.7,20.0,True,127.0,20.2
-11.7,20.0,True,128.0,20.2
-11.8,20.0,True,136.0,20.2
-10.1,22.1,True,857.0,20.2
-10.1,22.2,True,867.0,20.2
-14.5,20.2,True,0.0,20.2
-14.4,20.2,True,5.0,20.2
-14.5,20.2,True,7.0,20.2
-14.4,20.2,True,7.0,20.2
-14.4,20.2,True,9.0,20.2
-14.5,20.2,True,17.0,20.2
-14.5,20.2,True,22.0,20.2
-14.3,20.2,True,27.0,20.2
-14.3,20.2,True,28.0,20.2
-14.4,20.2,True,32.0,20.2
-14.5,20.2,True,37.0,20.2
-14.5,20.1,True,40.0,20.2
-14.4,20.1,True,42.0,20.2
-14.3,20.1,True,45.0,20.2
-14.1,20.1,True,47.0,20.2
-14.1,20.1,True,50.0,20.2
-14.2,20.1,True,52.0,20.2
-14.1,20.1,True,54.0,20.2
-14.2,20.1,True,57.0,20.2
